fond;typ_podpory;opatreni;climate_share;fin_vyuct_narodni;fin_vyuct_eu;fin_vyuct_czv
EAFRD 07-13;Plošná opatření;AEO-Agroenvironmentální opatření 2007-13;0,0;-2466394,39;-9551651,43;-12018045,82
EAFRD 07-13;Plošná opatření;ELESP-Péče a náhrada;0,4;-56258,60;-225036,22;-281294,82
EAFRD 07-13;Plošná opatření;ELESZ-Zalesnění;0,0;-224803,18;-899213,57;-1124016,75
EAFRD 07-13;Plošná opatření;I.1.1.1-I.1.1.1;0,0;-162564,00;-487692,00;-650256,00
EAFRD 07-13;Plošná opatření;I.1.1.1.a-Stavby a technologie pro živočišnou výrobu;0,0;-884293,50;-2652877,75;-3537171,25
EAFRD 07-13;Plošná opatření;I.1.1.1.b-Stavby a technologie pro rostlinnou výrobu;0,0;-1262704,00;-3788109,00;-5050813,00
EAFRD 07-13;Plošná opatření;I.1.1.2-Spolupráce při vývoji nových produktů, postupů a tec;0,0;-4287,50;-12862,50;-17150,00
EAFRD 07-13;Plošná opatření;I.1.2.1.a-Lesnická technika - pořízení strojů;0,0;-20469,93;-61409,81;-81879,74
EAFRD 07-13;Plošná opatření;I.1.2.2.a-Lesnická technika - pořízení strojů;0,0;-39375,00;-118125,00;-157500,00
EAFRD 07-13;Plošná opatření;I.1.2.3.a-Výstavba, modernizace, rekonstrukce a celkové opra;0,0;-1549,25;-4647,75;-6197,00
EAFRD 07-13;Plošná opatření;I.1.3.1.c-Přidávání hodnoty zemědělským a potravinářským pro;0,0;-440331,00;-1320993,00;-1761324,00
EAFRD 07-13;Plošná opatření;I.1.3.1.Z-Přidávání hodnoty zemědělským a potravinářským pro;0,0;-442621,50;-1327860,65;-1770482,15
EAFRD 07-13;Plošná opatření;I.3.1.b-Další odborné vzdělávání a informační činnost;0,0;-125972,77;-377918,23;-503891,00
EAFRD 07-13;Plošná opatření;I.3.2-Zahájení činnosti mladých zemědělců;0,0;-5109702,53;-12000166,42;-17109868,95
EAFRD 07-13;Plošná opatření;I.3.4-Využívání poradenských služeb;0,0;-55240,40;-165719,56;-220959,96
EAFRD 07-13;Plošná opatření;III.1.1.a-Diverzifikace činností nezemědělské povahy;0,0;-1088875,88;-3266627,66;-4355503,54
EAFRD 07-13;Plošná opatření;III.1.1.d-Výstavba a modernizace zařízení na výrobu tvarovan;0,0;-2157842,00;-6473526,00;-8631368,00
