"op_zkr";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_narodni_verejne";"fin_vyuct_verejne";"fin_vyuct_soukr"
"IROP";"0,0";"11786696919,88891220093";"68707778478,5111618042";"80494475398,4000701904";"141778049092,0392761";"123040385205,7216949";"16587803787,86757660";"2149860098,450000";"10227981797,28891181946";"78935760275,8000793457";"1558715122,6000003814697265625000"
"IROP";"0,4";"2095495467,55999994278";"11874474299,5900001526";"13969969767,1500015259";"17634714703,9400024";"14989507496,9300003";"1139045363,75999999";"1506161843,250000";"788526165,84000003338";"12663000465,4300003052";"1306969301,7200000286102294921875"
"IROP";"1,0";"10323278549,54479980469";"8586738394,7170276642";"18910016944,2618255615";"29789212833,8230133";"13391085667,5506992";"4050922760,01231146";"12347204406,260000";"2376796728,55479907990";"10963535123,2718276978";"7946481820,9899997711181640625000"
"IROP";NA;"433704,83999999985";"2457660,7475000001";"2891365,5874999999";"2895764,4475000";"2461399,7800000";"434364,66750000";"0,000000";"433704,84000000003";"2891365,5874999999";"0,0000000000000000000000"
"OP D";"0,0";"6981418187,88866615295";"39561369709,8651351929";"46542787897,7537994385";"72509301609,5919647";"61632906368,1307068";"10876395241,46125221";"0,000000";"6981418187,88866615295";"46542787897,7537994385";"-0,0000002030283212661743"
"OP D";"0,4";"8449409756,46699047089";"46785239476,8904190063";"55234649233,3574066162";"83484737175,4998016";"70056729236,9969025";"10976071182,07291031";"2451936756,430000";"7831070276,74699020386";"54616309753,6374053955";"618339479,7200002670288085937500"
"OP D";"1,0";"28606050,01000000164";"30854367,5899999999";"59460417,6000000015";"1728183143,3299999";"1016179835,0800000";"0,00000000";"712003308,250000";"0,00000000000";"30854367,5899999999";"28606050,0100000016391277313232"
"OP PIK";"0,0";"38302367911,92109680176";"31745404063,6549453735";"70047771975,5760498047";"125991790230,5633850";"60331477127,8243713";"1253846940,47058725";"64406466162,268433";"356622884,01000005007";"32102026947,6649436951";"37945745027,9111022949218750000000"
"OP PIK";"0,4";"1299181050,88999986649";"1057614714,9700000286";"2356795765,8600001335";"4430773073,1099997";"2005634862,3299999";"0,00000000";"2425138210,780000";"0,00000000000";"1057614714,9700000286";"1299181050,8899998664855957031250"
"OP PIK";"1,0";"14491894433,37136650085";"10138046070,2139587402";"24629940503,5853233337";"56258741421,8452759";"22671481222,5187111";"29969062,50000000";"33557291136,826565";"0,00000000000";"10138046070,2139587402";"14491894433,3713665008544921875000"
"OP PIK";NA;"0,00000000000";"0,0000000000";"0,0000000000";"0,0000000";"0,0000000";"0,00000000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
"OP PPR";"0,0";"2233600213,36357927322";"2233570204,5550422668";"4467170417,9186220169";"7008425150,0000954";"3504212574,1975312";"2945860175,32429409";"558352400,478269";"1868029778,24826455116";"4101599982,8033070564";"365570435,1153149008750915527344"
"OP PPR";"0,4";"209852157,65000000596";"209852157,6100000143";"419704315,2599999905";"1192400385,0000000";"596200192,5000000";"453049654,00000000";"143150538,500000";"167881726,09999999404";"377733883,7099999785";"41970431,5499999970197677612305"
"OP PPR";"1,0";"507290601,18999999762";"507290600,9200000167";"1014581202,1100000143";"1793407125,8800001";"896703562,9000000";"660463502,37000000";"236240060,610000";"366695683,75999999046";"873986284,6799999475";"140594917,4299999773502349853516"
"OP TP";"0,0";"786725549,60235142708";"4458111417,3123083115";"5244836966,9146595001";"7185129211,9110489";"6107359829,5895243";"1077769382,32152486";"0,000000";"786725549,60235142708";"5244836966,9146595001";"0,0000000262167304751355"
"OP TP";NA;"0,00000000000";"0,0000000000";"0,0000000000";"0,0000000";"0,0000000";"0,00000000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
"OP VVV";"0,0";"11723490376,01386260986";"48783070057,3263931274";"60506560433,3402557373";"88064258036,4644775";"70797148996,3968506";"15564019928,70356178";"1703089111,364068";"10362905044,20414543152";"59145975101,5305328369";"1360585331,8097174167633056640625"
"OP VVV";NA;"4439,48893518518";"17633,8258796296";"22073,3148148148";"28000617,6183333";"18622528,0186111";"9378089,59972222";"0,000000";"4439,48893518519";"22073,3148148148";"0,0000000000000000000000"
"OP Z";"0,0";"9052732403,77979087830";"42744683996,3691101074";"51797416400,1488952637";"73449196423,6840515";"60423967776,9253998";"12165030111,56466484";"860198535,193997";"8500745193,30849170685";"51245429189,6775970459";"551987210,4712989330291748046875"
"OP Z";NA;"0,00000000000";"0,0000000000";"0,0000000000";"313089289,3750000";"252105556,1937500";"60983733,18125000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
"OP ŽP";"0,0";"5405662882,73547554016";"25345869977,4541740417";"30751532860,1896476746";"39312408397,6649933";"31701535546,7082443";"5435053992,32513809";"2175818858,631612";"4431004403,01386356354";"29776874380,4680366516";"974658479,7216119766235351562500"
"OP ŽP";"0,4";"2551355021,61999988556";"17502658082,7600021362";"20054013104,3800010681";"28793401667,0499992";"24584486245,3699989";"1022459827,08000004";"3186455594,600000";"614924230,86000001431";"18117582313,6199989319";"1936430790,7599997520446777343750"
"OP ŽP";"1,0";"7913285650,13000011444";"6364840433,5299997330";"14278126083,6599998474";"22774859324,2799988";"10052330928,0699997";"12549681010,47999954";"172847385,730000";"7856238536,94999980927";"14221078970,4799995422";"57047113,1799999400973320007324"
"PRV";"0,0";"12292664459,60000038147";"17035112128,2899990082";"29327776587,8899993896";"0,0000000";"0,0000000";"0,00000000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
"PRV";"0,4";"1375172751,48000001907";"1411505050,4200000763";"2786677801,9000000954";"0,0000000";"0,0000000";"0,00000000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
"PRV";"1,0";"5817360331,59000015259";"17427581457,8300018311";"23244941789,4199981689";"0,0000000";"0,0000000";"0,00000000";"0,000000";"0,00000000000";"0,0000000000";"0,0000000000000000000000"
