"op_zkr";"prv_opatreni_orig";"prv_opatreni_id";"prv_opatreni_typ";"prv_opatreni_nazev";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv"
"PRV";"1.1.1-Vzdělávací akce";"1";"Projektová opatření";"1";"1,0";"5329114,00";"5223552,00";"10552666,00"
"PRV";"1.2.1-Informační akce";"1";"Projektová opatření";"1";"1,0";"8956977,00";"8779573,00";"17736550,00"
"PRV";"16.1.1-PE 16.1.1";NA;"Projektová opatření";NA;"0,0";"2557345,00";"2506691,00";"5064036,00"
"PRV";"16.2.1-Podpora vývoje nových produktů, postupů a technologií";NA;"Projektová opatření";NA;"0,0";"60499226,00";"59301207,00";"119800433,00"
"PRV";"16.2.2-Podpora vývoje nových produktů, postupů a technologií";NA;"Projektová opatření";NA;"0,0";"719887891,00";"705632661,00";"1425520552,00"
"PRV";"16.3.1-PE 16.3.1";NA;"Projektová opatření";NA;"0,0";"11839573,00";"11605116,00";"23444689,00"
"PRV";"19.2.1-Podpora provádění operací v rámci komunitně vedeného";NA;"Projektová opatření";NA;"0,0";"561658711,40";"998606513,60";"1560265225,00"
"PRV";"19.3.1-PE 19.3.1";NA;"Projektová opatření";NA;"0,0";"1230135,00";"2186896,00";"3417031,00"
"PRV";"20.1-Podpora technické pomoci (mimo CSV)";NA;"Projektová opatření";NA;"0,0";"104793604,00";"102718316,00";"207511920,00"
"PRV";"20.2-Podpora pro zřízení a činnost CSV";NA;"Projektová opatření";NA;"0,0";"16707226,00";"16376326,00";"33083552,00"
"PRV";"4.1.1-Investice do zemědělských podniků";NA;"Projektová opatření";NA;"0,0";"4116428830,28";"4034912512,72";"8151341343,00"
"PRV";"4.2.1-Zpracování a uvádění na trh zemědělských produktů";NA;"Projektová opatření";NA;"0,0";"944808700,00";"926098960,00";"1870907660,00"
"PRV";"4.3.1-Pozemkové úpravy";NA;"Projektová opatření";NA;"0,0";"1391825002,00";"1364263827,00";"2756088829,00"
"PRV";"4.3.2-Lesnická infrastruktura";NA;"Projektová opatření";NA;"0,0";"339090695,00";"332375802,00";"671466497,00"
"PRV";"6.1.1-Zahájení činnosti mladých zemědělců";"6";"Projektová opatření";"6";"0,4";"467476583,51";"458218221,52";"925694805,03"
