"fond";"typ_podpory";"opatreni";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv"
"EAFRD 07-13";"Plošná opatření";"AEO-Agroenvironmentální opatření 2007-13";"0,0";"-2466394,39000000";"-9551651,4300000";"-12018045,820000"
"EAFRD 07-13";"Plošná opatření";"ELESP-Péče a náhrada";"0,4";"-56258,60000000";"-225036,2200000";"-281294,820000"
"EAFRD 07-13";"Plošná opatření";"ELESZ-Zalesnění";"0,0";"-224803,18000000";"-899213,5700000";"-1124016,750000"
"EAFRD 07-13";"Plošná opatření";"I.1.1.1-I.1.1.1";"0,0";"-162564,00000000";"-487692,0000000";"-650256,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.1.1.a-Stavby a technologie pro živočišnou výrobu";"0,0";"-884293,50000000";"-2652877,7500000";"-3537171,250000"
"EAFRD 07-13";"Plošná opatření";"I.1.1.1.b-Stavby a technologie pro rostlinnou výrobu";"0,0";"-1262704,00000000";"-3788109,0000000";"-5050813,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.1.2-Spolupráce při vývoji nových produktů, postupů a tec";"0,0";"-4287,50000000";"-12862,5000000";"-17150,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.2.1.a-Lesnická technika - pořízení strojů";"0,0";"-20469,93000000";"-61409,8100000";"-81879,740000"
"EAFRD 07-13";"Plošná opatření";"I.1.2.2.a-Lesnická technika - pořízení strojů";"0,0";"-39375,00000000";"-118125,0000000";"-157500,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.2.3.a-Výstavba, modernizace, rekonstrukce a celkové opra";"0,0";"-1549,25000000";"-4647,7500000";"-6197,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.3.1.c-Přidávání hodnoty zemědělským a potravinářským pro";"0,0";"-440331,00000000";"-1320993,0000000";"-1761324,000000"
"EAFRD 07-13";"Plošná opatření";"I.1.3.1.Z-Přidávání hodnoty zemědělským a potravinářským pro";"0,0";"-442621,50000000";"-1327860,6500000";"-1770482,150000"
"EAFRD 07-13";"Plošná opatření";"I.3.1.b-Další odborné vzdělávání a informační činnost";"0,0";"-125972,77000000";"-377918,2300000";"-503891,000000"
"EAFRD 07-13";"Plošná opatření";"I.3.2-Zahájení činnosti mladých zemědělců";"0,0";"-5109702,53000000";"-12000166,4200000";"-17109868,950000"
"EAFRD 07-13";"Plošná opatření";"I.3.4-Využívání poradenských služeb";"0,0";"-55240,40000000";"-165719,5600000";"-220959,960000"
"EAFRD 07-13";"Plošná opatření";"III.1.1.a-Diverzifikace činností nezemědělské povahy";"0,0";"-1088875,88000000";"-3266627,6600000";"-4355503,540000"
"EAFRD 07-13";"Plošná opatření";"III.1.1.d-Výstavba a modernizace zařízení na výrobu tvarovan";"0,0";"-2157842,00000000";"-6473526,0000000";"-8631368,000000"
"EAFRD 07-13";"Plošná opatření";"III.1.2.a-Zakládání a rozvoj mikropodniku";"0,0";"-2141883,32000000";"-6425647,0700000";"-8567530,390000"
"EAFRD 07-13";"Plošná opatření";"III.1.2.e-III.1.2.e";"0,0";"-6043,00000000";"-18130,0000000";"-24173,000000"
"EAFRD 07-13";"Plošná opatření";"III.1.2.f-Zakládání a rozvoj mikropodniku - území České rep";"0,0";"-194220,19000000";"-582662,5700000";"-776882,760000"
"EAFRD 07-13";"Plošná opatření";"III.1.3.b-III.1.3.b";"0,0";"-1504196,46000000";"-4512589,3800000";"-6016785,840000"
"EAFRD 07-13";"Plošná opatření";"III.1.3.b-Ubytování, sport";"0,0";"-1217784,00000000";"-3653350,0000000";"-4871134,000000"
"EAFRD 07-13";"Plošná opatření";"III.2.1.1.-III.2.1.1.";"0,0";"-412772,00000000";"-1238314,0000000";"-1651086,000000"
"EAFRD 07-13";"Plošná opatření";"III.2.1.2.-III.2.1.2.";"0,0";"-180748,29000000";"-542244,8800000";"-722993,170000"
"EAFRD 07-13";"Plošná opatření";"III.2.1.2.-Občanské vybavení a služby";"0,0";"-950163,21000000";"-2850488,7400000";"-3800651,950000"
"EAFRD 07-13";"Plošná opatření";"III.2.2.b-Obnova a zhodnocování kulturního dědictví venkova";"0,0";"-1096538,00000000";"-3289613,0000000";"-4386151,000000"
