"oblast_intervence_nazev_en";"oblast_intervence_kod";"climate_share";"sc_id";"sc_nazev";"op_zkr";"op_id";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_czv";"fin_vyuct_eu";"fin_vyuct_narodni_verejne";"fin_vyuct_soukr";"fin_vyuct_verejne";"fin_vyuct_narodni";"n_prj"
NA;" III.0.055";NA;"06.6.127.6.1";"REACT-EU";"IROP";"06";"259406882,285000026";"220495849,915000021";"28208643,7399999946";"10702388,629999999";"61126426,9600000009";"51957462,8949999958";"6888987,8449999997";"2279976,21999999647960066795349121";"58846450,7400000021";"9168964,0649999976";"20"
NA;" III.0.055";NA;NA;NA;"IROP";"06";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"29"
NA;" IV.1.060";NA;"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"121861817,500000000";"69975035,150000006";"0,0000000000";"51886782,349999994";"45278676,4549999982";"26266330,3599999994";"0,0000000000";"19012346,09499999880790710449218750";"26266330,3599999994";"19012346,0949999988";"13"
NA;" IV.1.060";NA;NA;NA;"OP PIK";"01";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"3"
NA;" IV.1.061";NA;"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"531350245,500000000";"361672056,269999981";"0,0000000000";"169678189,229999989";"163737481,6449999511";"111270564,9800000042";"0,0000000000";"52466916,66499999910593032836914062";"111270564,9800000042";"52466916,6649999991";"63"
NA;" IV.1.061";NA;NA;NA;"OP PIK";"01";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"8"
NA;" IV.1.064";NA;"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"330267028,500000000";"121336981,699999988";"0,0000000000";"208930046,799999982";"139881449,9799999893";"51400005,5049999952";"0,0000000000";"88481444,47499999403953552246093750";"51400005,5049999952";"88481444,4749999940";"24"
NA;" IV.1.064";NA;NA;NA;"OP PIK";"01";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"32"
NA;" IV.1.065";NA;"01.1.02.1.1";"Zvýšit inovační výkonnost podniků";"OP PIK";"01";"15851482,000000000";"7133166,900000000";"0,0000000000";"8718315,100000000";"2641913,5000000000";"1188861,0750000000";"0,0000000000";"1453052,42500000004656612873077393";"1188861,0750000000";"1453052,4250000000";"1"
NA;" IV.4.088";NA;"06.6.127.6.1";"REACT-EU";"IROP";"06";"274438664,180000007";"233272864,545000017";"41165799,6350000054";"0,000000000";"56832967,1950000003";"48308022,1049999893";"8524945,0899999999";"0,00000001490116119384765625";"56832967,1949999854";"8524945,0900000110";"6"
NA;" IV.4.088";NA;NA;NA;"IROP";"06";"0,000000000";"0,000000000";"0,0000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,0000000000";"0,00000000000000000000000000";"0,0000000000";"0,0000000000";"14"
NA;" IX.0.122";NA;"02.4.125.1";"Zajištění efektivní administrace";"OP VVV";"02";"7972897,591666667";"6470006,388333333";"1502891,2033333334";"0,000000000";"2090135,4733333334";"1696144,9166666667";"393990,5566666667";"0,00000000000000000000000000";"2090135,4733333334";"393990,5566666666";"2"
NA;" IX.0.122";NA;"02.4.125.2";"Zajištění informovanosti, publicity a absorpční kapacity";"OP VVV";"02";"470891,666666667";"382128,583333333";"88763,0833333333";"0,000000000";"53752,7833333333";"43620,3766666667";"10132,4066666667";"0,00000000000000000000000000";"53752,7833333333";"10132,4066666667";"1"
NA;" IX.0.122";NA;"05.6.125.6.1";"Zajistit řádné a efektivní řízení a administraci";"OP ŽP";"05";"5895000,000000000";"5010750,000000000";"884250,0000000000";"0,000000000";"26738,2000000000";"22727,4700000000";"4010,7300000000";"0,00000000000000000000000000";"26738,2000000000";"4010,7300000000";"1"
NA;" IX.0.122";NA;"08.1.125.1.1";"Vytvořit podmínky pro naplnění cílů Dohody o partnerství a koordinace řízení";"OP TP";"08";"5767183,500000000";"4902105,975000000";"865077,5250000000";"0,000000000";"634000,2000000000";"538900,1700000000";"95100,0300000000";"-0,00000000011641532182693481";"634000,2000000001";"95100,0299999999";"1"
NA;" IX.0.122";NA;"08.1.125.1.3";"Podpořit kapacity pro implementaci ESIF na nižší než národní úrovni";"OP TP";"08";"2267421,000000000";"1927307,850000000";"340113,1500000000";"0,000000000";"937141,3149999999";"796570,1150000000";"140571,2000000000";"0,00000000000000000000000000";"937141,3149999999";"140571,2000000000";"1"
NA;" IX.0.123";NA;"02.4.125.1";"Zajištění efektivní administrace";"OP VVV";"02";"470891,666666667";"382128,583333333";"88763,0833333333";"0,000000000";"53752,7833333333";"43620,3766666667";"10132,4066666667";"0,00000000000000000000000000";"53752,7833333333";"10132,4066666667";"1"
NA;" IX.0.123";NA;"02.4.125.2";"Zajištění informovanosti, publicity a absorpční kapacity";"OP VVV";"02";"470891,666666667";"382128,583333333";"88763,0833333333";"0,000000000";"53752,7833333333";"43620,3766666667";"10132,4066666667";"0,00000000000000000000000000";"53752,7833333333";"10132,4066666667";"1"
NA;" V.0.106";NA;"03.1.52.1";"Zvýšit odbornou úroveň znalostí, dovedností a kompetencí pracovníků a soulad kvalifikační úrovně pracovní síly s požadavky trhu práce";"OP Z";"03";"624999830,000000000";"503621738,012499988";"121378091,9874999970";"0,000000000";"624500342,9099999666";"503219253,8125000000";"121281089,0974999964";"0,00000000000000000000000000";"624500342,9099999666";"121281089,0974999666";"1"
NA;" V.0.106";NA;"03.1.52.2";"Zvýšit adaptabilitu starších pracovníků";"OP Z";"03";"624999830,000000000";"503621738,012499988";"121378091,9874999970";"0,000000000";"624500342,9099999666";"503219253,8125000000";"121281089,0974999964";"0,00000000000000000000000000";"624500342,9099999666";"121281089,0974999666";"1"
NA;" VI.0.111";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.111";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.111";NA;"02.3.68.5";"Zvyšení kvality vzdělávání a odborné přípravy včetně posílení jejich relevance pro trh práce";"OP VVV";"02";"60812338,444444463";"49937677,411111146";"10874661,0333333258";"0,000000000";"14197033,4444444515";"11666440,2533333357";"2530593,1911111092";"0,00000000001131815628872977";"14197033,4444444515";"2530593,1911111083";"981"
NA;" VI.0.112";NA;"03.2.60.1";"Zvýšit uplatnitelnost osob ohrožených sociálním vyloučením nebo sociálně vyloučených ve společnosti a na trhu práce ";"OP Z";"03";"2943929,220000000";"1471964,610000000";"1471964,6099999999";"0,000000000";"1514152,2900000000";"757076,1399999999";"757076,1500000000";"0,00000000011641532182693481";"1514152,2900000000";"757076,1500000001";"3"
NA;" VI.0.112";NA;"03.2.63.1";"Zvýšit kvalitu a udržitelnost systému sociálních služeb, služeb pro rodiny a děti a dalších navazujících služeb podporujících sociální začleňování ";"OP Z";"03";"2943929,220000000";"1471964,610000000";"1471964,6099999999";"0,000000000";"1514152,2900000000";"757076,1399999999";"757076,1500000000";"0,00000000011641532182693481";"1514152,2900000000";"757076,1500000001";"3"
NA;" VII.0.115";NA;"02.3.61.1";"Sociální integrace dětí a žáků včetně začleňování romských dětí do vzdělávání";"OP VVV";"02";"132580724,944444433";"106317515,163610995";"26263209,7808333486";"0,000000000";"38266882,4444444701";"30520449,8408333287";"7746432,6036111172";"0,00000000001859411390291320";"38266882,4444444701";"7746432,6036111172";"1547"
NA;" VII.0.115";NA;"02.3.62.1";"Kvalitní podmínky pro inkluzívní vzdělávání";"OP VVV";"02";"65937646,694444448";"54169664,183611155";"11767982,5108333305";"0,000000000";"14872697,1944444515";"12202142,0108333435";"2670555,1836111103";"0,00000000001131815628872977";"14872697,1944444515";"2670555,1836111099";"1045"
NA;" VII.0.115";NA;"02.3.68.2";"Zlepšení kvality vzdělávání a výsledků žáků v klíčových kompetencích";"OP VVV";"02";"82370371,479999989";"54506341,502222225";"27864029,9777777791";"0,000000000";"29414809,5044444427";"20089277,9666666649";"9325531,5377777778";"0,00000000000000000000000000";"29414809,5044444427";"9325531,5377777778";"2"
