"op_zkr";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_narodni_verejne";"fin_vyuct_soukr";"fin_vyuct_verejne"
"IROP";"0,0";"14874080343,2115860";"87839821255,269653";"102713901598,481308";"144717291631,571869";"125306568848,967987";"16920639263,503868";"2490083519,1000";"12889662522,7315884";"1984417820,4800009727478027343750000";"100729483778,001297"
"IROP";"0,4";"2450683445,7319999";"13887206172,737991";"16337889618,469986";"18658610813,865009";"15859819190,229994";"1279668708,204999";"1519122915,4300";"1018963968,4820004";"1431719477,2500000000000000000000000";"14906170141,219995"
"IROP";"1,0";"13326092141,0314178";"10800259757,292320";"24126351898,323700";"30689630517,028126";"14034726049,542002";"4093632595,816119";"12561271871,6700";"2995051572,5914087";"10331040568,4400043487548828125000000";"13795311329,883722"
"IROP";NA;"17693909,1550000";"100265485,000000";"117959394,155000";"533845546,465000";"453768714,460000";"69374443,375000";"10702388,6300";"15413932,9350000";"2279976,2200000113807618618011475";"115679417,935000"
"OP D";"0,0";"8815366984,5200005";"49953746217,419998";"58769113201,940002";"75062938754,309998";"63803497941,140022";"11259440813,170000";"0,0000";"8815366984,5199986";"0,0000005811452865600585938";"58769113201,940002"
"OP D";"0,4";"10302767593,0299969";"54638725211,159996";"64941492804,190002";"82788623419,749985";"69556175515,589996";"10766219954,260000";"2466227949,9000";"8620482068,3599968";"1682285524,6700005531311035156250000";"63259207279,520012"
"OP D";"1,0";"133490857,5300000";"164793040,680000";"298283898,210000";"1100237365,390000";"658162101,760000";"0,000000";"442075263,6300";"0,0000000";"133490857,5300000011920928955078125";"164793040,680000"
"OP PIK";"0,0";"55298519304,3542328";"46172499751,570290";"101471019055,924484";"139451326186,536926";"66474160558,069992";"1414261774,790000";"71562903853,6769";"595977289,0100000";"54702542015,3442230224609375000000000";"46768477040,580299"
"OP PIK";"0,4";"1925404471,9200001";"1532249651,859999";"3457654123,780000";"3991130746,089999";"1812231851,860001";"0,000000";"2178898894,2300";"0,0000000";"1925404471,9200000762939453125000000";"1532249651,859999"
"OP PIK";"1,0";"20778075615,5257912";"14535592621,209660";"35313668236,735481";"55114931961,053062";"22502635494,949955";"32848858,300000";"32579447607,8031";"0,0000000";"20778075615,5257911682128906250000000";"14535592621,209660"
"OP PIK";NA;"161413759,6600000";"190125761,920000";"351539521,580000";"999330573,500000";"560117240,020000";"0,000000";"439213333,4800";"0,0000000";"161413759,6599999964237213134765625";"190125761,920000"
"OP PPR";"0,0";"2847501697,6199999";"2847471687,210000";"5694973384,830000";"7605939875,700001";"3802969936,900001";"3187943557,860000";"615026380,9400";"2363307335,7399998";"484194361,8799999952316284179687500";"5210779022,950000"
"OP PPR";"0,4";"442917050,2300000";"442917050,170000";"885834100,400000";"1192400385,000000";"596200192,500000";"453049654,000000";"143150538,5000";"345744220,1500000";"97172830,0799999535083770751953125";"788661270,320000"
